"","C1.vs..C2...Affy","C1.vs..C2...Gene","C1.vs..C4...Affy","C1.vs..C4...Gene","C1.vs..C5...Affy","C1.vs..C5...Gene","C2.vs..C4...Affy","C2.vs..C4...Gene","C2.vs..C5...Affy","C2.vs..C5...Gene","C4.vs..C5...Affy","C4.vs..C5...Gene"
"58","223122_s_at","PLAT","228396_at","SDC1","230925_at","HLA-DQA2","220330_s_at","DRAM1","217995_at","HLA-DQB1","230664_at","PSMB10"
"59","1557938_s_at","C1QTNF3","201744_s_at","CCL3L3","202202_s_at","LAPTM5","227346_at","ITM2A","1555349_a_at","OSBPL3","210933_s_at","BEX1"
"60","223499_at","ZEB1","234994_at","CCL3L1","201141_at","WIPF3","206715_at","CCR1","214511_x_at","CCL2","226473_at","LYSMD2"
"61","211161_s_at","BGN","213905_x_at","MS4A1","209312_x_at","CCL11","201859_at","CCR2","209619_at","HLA-DQA2","211366_x_at","AMYP1"
"62","211571_s_at","GJB2","235318_at","C17orf91","211990_at","CCL8","223502_s_at","CCR5","205988_at","LAPTM5","203052_at","BTBD11"
"63","208790_s_at","KAL1","206026_s_at","FGF7","213160_at","TAP2","206991_s_at","AIF1","205685_at","HLA-DOB","229350_x_at","ZNF521"
"64","213725_x_at","CNN1","1554474_a_at","KDELR3","223502_s_at","LPXN","213975_s_at","GLT8D2","230391_at","CCL11","222547_at","TCEAL7"
"65","221541_at","COMP","219087_at","KRT17","211719_x_at","NCRNA00152","210972_x_at","FCGR1C","218870_at","CCL8","1558732_at","APOBEC3G"
"66","202765_s_at","EPYC","218656_s_at","MAFB","221730_at","PSMB8","228532_at","ADAMTS2","205488_at","TAP2","209040_s_at","CDH2"
"67","211719_x_at","GABBR1","217428_s_at","COLEC12","213416_at","SOX11","202283_at","CTHRC1","209312_x_at","LPXN","210982_s_at","LHX1"
"68","221911_at","LUM","213125_at","SCGB1D2","203603_s_at","PSMB9","223501_at","MRC1L1","201288_at","PSMB8","201762_s_at","TRIM14"
"69","215646_s_at","UBD","221541_at","PPP1R1B","206584_at","FAM84A","203729_at","ITGB2","226219_at","SOX11","1557116_at","ASXL3"
"70","212464_s_at","DCN","213429_at","CHST11","211991_s_at","COL16A1","204912_at","MRC1","211796_s_at","PSMB9","217362_x_at","DTNA"
"71","212256_at","SLIT3","217762_s_at","EPB41L3","222876_s_at","TAP1","204834_at","NLRC3","232617_at","FAM84A","239295_at","IRF1"
"72","207173_x_at","TNFRSF19","235182_at","ARHGAP28","203561_at","CMPK2","209906_at","COL6A2","212587_s_at","TAP1","202531_at","CDH3"
"73","205100_at","EFS","218469_at","RAB31","212464_s_at","SNX10","203760_s_at","TNFRSF17","205786_s_at","CMPK2","238725_at","CEP170P1"
"74","217428_s_at","CILP2","232458_at","APCDD1","230422_at","PDE1A","204232_at","SNAI2","210629_x_at","SNX10","225958_at","TMEM119"
"75","202994_s_at","KIAA1199","202310_s_at","FAM38B","209906_at","UBA7","201422_at","ITK","211795_s_at","HLA-DMB","222752_s_at","CHPT1"
"76","201307_at","GLIS3","221019_s_at","TUBB6","204670_x_at","GGTA1","238668_at","HCP5","202748_at","C7orf41","208894_at","RAB27A"
"77","205330_at","NTM","225481_at","NUAK1","207275_s_at","RSAD2","204236_at","ZEB1","216950_s_at","UBA7","211368_s_at","DEPDC6"
"78","230493_at","JAM3","213001_at","FEZ1","209619_at","COLEC11","204891_s_at","GPR34","1567628_at","GGTA1","212372_at","CYP2C8"
"79","236179_at","BNC2","226997_at","DIO2","221019_s_at","ANXA2P2","213539_at","EVI2B","224451_x_at","RSAD2","217478_s_at","PAPLN"
"80","223276_at","GHR","226372_at","ZNF521","209970_x_at","SKAP2","205988_at","EVI2A","1552703_s_at","COLEC11","207180_s_at","SMAD7"
"81","222449_at","C5orf62","209708_at","TCEAL7","226218_at","ID2","229560_at","ACP5","204959_at","USP44","211367_s_at","RAB27B"
"82","202311_s_at","TPM2","221911_at","PPIC","227566_at","HLA-DMA","205242_at","ETS1","219666_at","SKAP2","205472_s_at","TOX"
"83","201150_s_at","GPR64","201307_at","ZFPM2","204959_at","AHR","218870_at","FLI1","204192_at","NTN4","218032_at","TMEFF1"
"84","226311_at","H19","202995_s_at","LRRN4CL","204320_at","HOXA3","205686_s_at","BCL2A1","218805_at","HLA-DMA","219716_at","KRT23"
"85","238852_at","RBMS3","205100_at","HSPA7","1555349_a_at","MYCN","209606_at","EPYC","206991_s_at","KIDINS220","227048_at","FADS1"
"86","213429_at","PNMA2","205991_s_at","GALNT1","36030_at","MPEG1","1555638_a_at","GABBR1","204912_at","AHR","219850_s_at","SYBU"
"87","219087_at","SEPT11","205941_s_at","FOS","211668_s_at","ITGAV","204923_at","LUM","239294_at","MYCN","205668_at","RARRES3"
"88","229479_at","ARL10","217763_s_at","ANGPT1","201743_at","CYS1","209813_x_at","UBD","223922_x_at","MPEG1","1555112_a_at","TMSB15B"
"89","222379_at","SHISA2","225464_at","FLRT2","212344_at","TAPBP","210152_at","DCN","221698_s_at","TAPBP","221909_at","ZNF711"
"90","213338_at","PPAPDC1A","202994_s_at","TMEM119","226099_at","HLA-DOA","226818_at","MICB","219716_at","HLA-DOA","226234_at","FBN2"
"91","226069_at","COL5A1","209621_s_at","TLR1","203104_at","HLA-DPA1","235306_at","APBB1IP","230550_at","HLA-DPA1","228906_at","TCEAL2"
"92","205407_at","LOXL2","225524_at","SLC31A2","217995_at","GPNMB","204204_at","NTM","211582_x_at","GPNMB","206721_at","SPOCK1"
"93","226997_at","HTRA1","209335_at","CORO1C","223121_s_at","AQP1","209671_x_at","KIAA1949","1552316_a_at","CACNA2D2","209448_at","GLT8D2"
"94","229218_at","STXBP6","200974_at","COL15A1","202450_s_at","TMPO","208018_s_at","TLR7","202803_s_at","MS4A6A","222101_s_at","FTH1"
"95","218638_s_at","CXCL13","202273_at","GPR65","37892_at","MS4A6A","226841_at","DOCK2","206011_at","HLA-DPB1","226748_at","ZNF618"
"96","232231_at","PTPRD","202404_s_at","IGFBP4","238025_at","HLA-DPB1","209539_at","TLR8","210915_x_at","WDR35","235343_at","NAP1L3"
"97","221898_at","LPL","214293_at","PAPLN","210982_s_at","CCL5","203083_at","MIR155HG","235458_at","CCL5","218332_at","TMSB15A"
