"","C1.vs..C2...Affy","C1.vs..C2...Gene","C1.vs..C4...Affy","C1.vs..C4...Gene","C1.vs..C5...Affy","C1.vs..C5...Gene","C2.vs..C4...Affy","C2.vs..C4...Gene","C2.vs..C5...Affy","C2.vs..C5...Gene","C4.vs..C5...Affy","C4.vs..C5...Gene"
"989","AAAAAAAAAA","AAAAAAAAAA","202620_s_at","AAAAAAAAAA","212764_at","TRIM45","AAAAAAAAAA","AAAAAAAAAA","205842_s_at","SUSD2","AAAAAAAAAA","AAAAAAAAAA"
"990","AAAAAAAAAA","AAAAAAAAAA","231766_s_at","AAAAAAAAAA","217498_at","FZD5","AAAAAAAAAA","AAAAAAAAAA","219850_s_at","EHF","AAAAAAAAAA","AAAAAAAAAA"
"991","AAAAAAAAAA","AAAAAAAAAA","219118_at","AAAAAAAAAA","219602_s_at","ST3GAL6","AAAAAAAAAA","AAAAAAAAAA","235501_at","TMED7-TICAM2","AAAAAAAAAA","AAAAAAAAAA"
"992","AAAAAAAAAA","AAAAAAAAAA","232544_at","AAAAAAAAAA","204221_x_at","BMP7","AAAAAAAAAA","AAAAAAAAAA","222150_s_at","CLEC7A","AAAAAAAAAA","AAAAAAAAAA"
"993","AAAAAAAAAA","AAAAAAAAAA","203476_at","AAAAAAAAAA","219367_s_at","VTCN1","AAAAAAAAAA","AAAAAAAAAA","211868_x_at","CYB5R4","AAAAAAAAAA","AAAAAAAAAA"
"994","AAAAAAAAAA","AAAAAAAAAA","237292_at","AAAAAAAAAA","226722_at","TIMP3","AAAAAAAAAA","AAAAAAAAAA","219553_at","PROM2","AAAAAAAAAA","AAAAAAAAAA"
"995","AAAAAAAAAA","AAAAAAAAAA","201858_s_at","AAAAAAAAAA","222838_at","CD163","AAAAAAAAAA","AAAAAAAAAA","244050_at","TICAM2","AAAAAAAAAA","AAAAAAAAAA"
"996","AAAAAAAAAA","AAAAAAAAAA","218232_at","AAAAAAAAAA","213418_at","UNC5B","AAAAAAAAAA","AAAAAAAAAA","225102_at","PRRX1","AAAAAAAAAA","AAAAAAAAAA"
"997","AAAAAAAAAA","AAAAAAAAAA","216252_x_at","AAAAAAAAAA","228772_at","FOSL2","AAAAAAAAAA","AAAAAAAAAA","1556069_s_at","RNF213","AAAAAAAAAA","AAAAAAAAAA"
"998","AAAAAAAAAA","AAAAAAAAAA","213194_at","AAAAAAAAAA","208829_at","PTGER3","AAAAAAAAAA","AAAAAAAAAA","204124_at","OLR1","AAAAAAAAAA","AAAAAAAAAA"
"999","AAAAAAAAAA","AAAAAAAAAA","201416_at","AAAAAAAAAA","208131_s_at","HMHA1","AAAAAAAAAA","AAAAAAAAAA","210973_s_at","ZNF268","AAAAAAAAAA","AAAAAAAAAA"
"1000","AAAAAAAAAA","AAAAAAAAAA","214247_s_at","AAAAAAAAAA","203131_at","CD8A","AAAAAAAAAA","AAAAAAAAAA","1558732_at","ZNF10","AAAAAAAAAA","AAAAAAAAAA"
"1001","AAAAAAAAAA","AAAAAAAAAA","227697_at","AAAAAAAAAA","204362_at","C14orf139","AAAAAAAAAA","AAAAAAAAAA","218829_s_at","HMOX1","AAAAAAAAAA","AAAAAAAAAA"
"1002","AAAAAAAAAA","AAAAAAAAAA","242447_at","AAAAAAAAAA","202688_at","MMP11","AAAAAAAAAA","AAAAAAAAAA","208436_s_at","C11orf70","AAAAAAAAAA","AAAAAAAAAA"
"1003","AAAAAAAAAA","AAAAAAAAAA","203066_at","AAAAAAAAAA","210951_x_at","IKZF1","AAAAAAAAAA","AAAAAAAAAA","213142_x_at","PRICKLE1","AAAAAAAAAA","AAAAAAAAAA"
"1004","AAAAAAAAAA","AAAAAAAAAA","228186_s_at","AAAAAAAAAA","217728_at","CPA3","AAAAAAAAAA","AAAAAAAAAA","211633_x_at","TNFSF14","AAAAAAAAAA","AAAAAAAAAA"
"1005","AAAAAAAAAA","AAAAAAAAAA","1555229_a_at","AAAAAAAAAA","225033_at","GYG1","AAAAAAAAAA","AAAAAAAAAA","219938_s_at","FMO2","AAAAAAAAAA","AAAAAAAAAA"
"1006","AAAAAAAAAA","AAAAAAAAAA","210220_at","AAAAAAAAAA","204894_s_at","SMOC2","AAAAAAAAAA","AAAAAAAAAA","226136_at","NT5E","AAAAAAAAAA","AAAAAAAAAA"
"1007","AAAAAAAAAA","AAAAAAAAAA","235371_at","AAAAAAAAAA","237064_x_at","TDO2","AAAAAAAAAA","AAAAAAAAAA","225710_at","KLRK1","AAAAAAAAAA","AAAAAAAAAA"
"1008","AAAAAAAAAA","AAAAAAAAAA","207977_s_at","AAAAAAAAAA","211122_s_at","GPR116","AAAAAAAAAA","AAAAAAAAAA","204438_at","FMO1","AAAAAAAAAA","AAAAAAAAAA"
"1009","AAAAAAAAAA","AAAAAAAAAA","227870_at","AAAAAAAAAA","222164_at","MAP3K5","AAAAAAAAAA","AAAAAAAAAA","219691_at","C3","AAAAAAAAAA","AAAAAAAAAA"
"1010","AAAAAAAAAA","AAAAAAAAAA","222088_s_at","AAAAAAAAAA","207542_s_at","PHLDA2","AAAAAAAAAA","AAAAAAAAAA","233214_at","BIRC3","AAAAAAAAAA","AAAAAAAAAA"
"1011","AAAAAAAAAA","AAAAAAAAAA","238447_at","AAAAAAAAAA","234151_at","RCSD1","AAAAAAAAAA","AAAAAAAAAA","235157_at","SDC2","AAAAAAAAAA","AAAAAAAAAA"
"1012","AAAAAAAAAA","AAAAAAAAAA","207030_s_at","AAAAAAAAAA","205529_s_at","THBS2","AAAAAAAAAA","AAAAAAAAAA","217157_x_at","LCP1","AAAAAAAAAA","AAAAAAAAAA"
"1013","AAAAAAAAAA","AAAAAAAAAA","226534_at","AAAAAAAAAA","202863_at","FBP1","AAAAAAAAAA","AAAAAAAAAA","225847_at","CD3D","AAAAAAAAAA","AAAAAAAAAA"
"1014","AAAAAAAAAA","AAAAAAAAAA","201310_s_at","AAAAAAAAAA","229849_at","EPSTI1","AAAAAAAAAA","AAAAAAAAAA","221909_at","ACSL1","AAAAAAAAAA","AAAAAAAAAA"
"1015","AAAAAAAAAA","AAAAAAAAAA","203485_at","AAAAAAAAAA","209305_s_at","SLC2A3","AAAAAAAAAA","AAAAAAAAAA","224521_s_at","KLRC2","AAAAAAAAAA","AAAAAAAAAA"
"1016","AAAAAAAAAA","AAAAAAAAAA","204115_at","AAAAAAAAAA","203845_at","PTPRC","AAAAAAAAAA","AAAAAAAAAA","203256_at","FLVCR1","AAAAAAAAAA","AAAAAAAAAA"
"1017","AAAAAAAAAA","AAAAAAAAAA","1559584_a_at","AAAAAAAAAA","226641_at","DNAJC15","AAAAAAAAAA","AAAAAAAAAA","209348_s_at","FCGR1A","AAAAAAAAAA","AAAAAAAAAA"
"1018","AAAAAAAAAA","AAAAAAAAAA","204284_at","AAAAAAAAAA","229041_s_at","PRKG1","AAAAAAAAAA","AAAAAAAAAA","233690_at","FN1","AAAAAAAAAA","AAAAAAAAAA"
"1019","AAAAAAAAAA","AAAAAAAAAA","228739_at","AAAAAAAAAA","241682_at","FCGR1B","AAAAAAAAAA","AAAAAAAAAA","205173_x_at","VASH2","AAAAAAAAAA","AAAAAAAAAA"
"1020","AAAAAAAAAA","AAAAAAAAAA","201324_at","AAAAAAAAAA","226459_at","C3AR1","AAAAAAAAAA","AAAAAAAAAA","1558034_s_at","KLRC1","AAAAAAAAAA","AAAAAAAAAA"
"1021","AAAAAAAAAA","AAAAAAAAAA","209598_at","AAAAAAAAAA","239752_at","FAM46A","AAAAAAAAAA","AAAAAAAAAA","242263_at","FAM26F","AAAAAAAAAA","AAAAAAAAAA"
"1022","AAAAAAAAAA","AAAAAAAAAA","206978_at","AAAAAAAAAA","241981_at","TP53TG3","AAAAAAAAAA","AAAAAAAAAA","205945_at","CD44","AAAAAAAAAA","AAAAAAAAAA"
"1023","AAAAAAAAAA","AAAAAAAAAA","220122_at","AAAAAAAAAA","212992_at","SPON2","AAAAAAAAAA","AAAAAAAAAA","235634_at","IL1RN","AAAAAAAAAA","AAAAAAAAAA"
"1024","AAAAAAAAAA","AAAAAAAAAA","204118_at","AAAAAAAAAA","209757_s_at","CD74","AAAAAAAAAA","AAAAAAAAAA","202965_s_at","TNNI1","AAAAAAAAAA","AAAAAAAAAA"
"1025","AAAAAAAAAA","AAAAAAAAAA","228202_at","AAAAAAAAAA","201215_at","PAG1","AAAAAAAAAA","AAAAAAAAAA","204846_at","FLRT3","AAAAAAAAAA","AAAAAAAAAA"
"1026","AAAAAAAAAA","AAAAAAAAAA","227268_at","AAAAAAAAAA","218162_at","FXYD6","AAAAAAAAAA","AAAAAAAAAA","38241_at","MEST","AAAAAAAAAA","AAAAAAAAAA"
"1027","AAAAAAAAAA","AAAAAAAAAA","204416_x_at","AAAAAAAAAA","220088_at","RASGRP1","AAAAAAAAAA","AAAAAAAAAA","209230_s_at","VAV1","AAAAAAAAAA","AAAAAAAAAA"
"1028","AAAAAAAAAA","AAAAAAAAAA","211430_s_at","AAAAAAAAAA","237146_at","CNRIP1","AAAAAAAAAA","AAAAAAAAAA","235017_s_at","PDXK","AAAAAAAAAA","AAAAAAAAAA"
"1029","AAAAAAAAAA","AAAAAAAAAA","224358_s_at","AAAAAAAAAA","201843_s_at","SLC35D3","AAAAAAAAAA","AAAAAAAAAA","209200_at","CAMTA1","AAAAAAAAAA","AAAAAAAAAA"
"1030","AAAAAAAAAA","AAAAAAAAAA","209685_s_at","AAAAAAAAAA","205347_s_at","CLEC4A","AAAAAAAAAA","AAAAAAAAAA","235924_at","LRP6","AAAAAAAAAA","AAAAAAAAAA"
"1031","AAAAAAAAAA","AAAAAAAAAA","229860_x_at","AAAAAAAAAA","226368_at","COL8A1","AAAAAAAAAA","AAAAAAAAAA","224840_at","EFHC1","AAAAAAAAAA","AAAAAAAAAA"
"1032","AAAAAAAAAA","AAAAAAAAAA","227971_at","AAAAAAAAAA","226402_at","PDE4DIP","AAAAAAAAAA","AAAAAAAAAA","211908_x_at","GPR171","AAAAAAAAAA","AAAAAAAAAA"
"1033","AAAAAAAAAA","AAAAAAAAAA","212670_at","AAAAAAAAAA","223220_s_at","PLEK","AAAAAAAAAA","AAAAAAAAAA","1554008_at","NFKBIZ","AAAAAAAAAA","AAAAAAAAAA"
"1034","AAAAAAAAAA","AAAAAAAAAA","203088_at","AAAAAAAAAA","201185_at","WIPI1","AAAAAAAAAA","AAAAAAAAAA","202671_s_at","SEMA6A","AAAAAAAAAA","AAAAAAAAAA"
"1035","AAAAAAAAAA","AAAAAAAAAA","209198_s_at","AAAAAAAAAA","223809_at","CP","AAAAAAAAAA","AAAAAAAAAA","234884_x_at","IL18BP","AAAAAAAAAA","AAAAAAAAAA"
"1036","AAAAAAAAAA","AAAAAAAAAA","224215_s_at","AAAAAAAAAA","204339_s_at","KRT80","AAAAAAAAAA","AAAAAAAAAA","225800_at","P2RY13","AAAAAAAAAA","AAAAAAAAAA"
"1037","AAAAAAAAAA","AAAAAAAAAA","229357_at","AAAAAAAAAA","218764_at","NLRC5","AAAAAAAAAA","AAAAAAAAAA","227261_at","SOX6","AAAAAAAAAA","AAAAAAAAAA"
"1038","AAAAAAAAAA","AAAAAAAAAA","229937_x_at","AAAAAAAAAA","228906_at","CBX2","AAAAAAAAAA","AAAAAAAAAA","203381_s_at","ANKRD45","AAAAAAAAAA","AAAAAAAAAA"
"1039","AAAAAAAAAA","AAAAAAAAAA","201170_s_at","AAAAAAAAAA","202638_s_at","FABP4","AAAAAAAAAA","AAAAAAAAAA","242064_at","APOL6","AAAAAAAAAA","AAAAAAAAAA"
"1040","AAAAAAAAAA","AAAAAAAAAA","212154_at","AAAAAAAAAA","227001_at","IFNGR1","AAAAAAAAAA","AAAAAAAAAA","203973_s_at","SDK2","AAAAAAAAAA","AAAAAAAAAA"
"1041","AAAAAAAAAA","AAAAAAAAAA","211959_at","AAAAAAAAAA","203789_s_at","MFAP5","AAAAAAAAAA","AAAAAAAAAA","217763_s_at","EPAS1","AAAAAAAAAA","AAAAAAAAAA"
"1042","AAAAAAAAAA","AAAAAAAAAA","215176_x_at","AAAAAAAAAA","203837_at","C13orf31","AAAAAAAAAA","AAAAAAAAAA","218543_s_at","SOX4","AAAAAAAAAA","AAAAAAAAAA"
"1043","AAAAAAAAAA","AAAAAAAAAA","227265_at","AAAAAAAAAA","213610_s_at","TP53TG3B","AAAAAAAAAA","AAAAAAAAAA","217502_at","ZNF286A","AAAAAAAAAA","AAAAAAAAAA"
"1044","AAAAAAAAAA","AAAAAAAAAA","235046_at","AAAAAAAAAA","226878_at","DPT","AAAAAAAAAA","AAAAAAAAAA","1553132_a_at","CTSS","AAAAAAAAAA","AAAAAAAAAA"
"1045","AAAAAAAAAA","AAAAAAAAAA","205419_at","AAAAAAAAAA","223038_s_at","FAM20A","AAAAAAAAAA","AAAAAAAAAA","225647_s_at","AADAC","AAAAAAAAAA","AAAAAAAAAA"
"1046","AAAAAAAAAA","AAAAAAAAAA","204362_at","AAAAAAAAAA","202157_s_at","TNFAIP3","AAAAAAAAAA","AAAAAAAAAA","206391_at","SUCNR1","AAAAAAAAAA","AAAAAAAAAA"
"1047","AAAAAAAAAA","AAAAAAAAAA","212865_s_at","AAAAAAAAAA","217525_at","FILIP1L","AAAAAAAAAA","AAAAAAAAAA","212613_at","CTSK","AAAAAAAAAA","AAAAAAAAAA"
"1048","AAAAAAAAAA","AAAAAAAAAA","211577_s_at","AAAAAAAAAA","61734_at","PHC1","AAAAAAAAAA","AAAAAAAAAA","202986_at","MGLL","AAAAAAAAAA","AAAAAAAAAA"
"1049","AAAAAAAAAA","AAAAAAAAAA","203708_at","AAAAAAAAAA","209514_s_at","TPBG","AAAAAAAAAA","AAAAAAAAAA","226960_at","C16orf54","AAAAAAAAAA","AAAAAAAAAA"
"1050","AAAAAAAAAA","AAAAAAAAAA","204719_at","AAAAAAAAAA","229687_s_at","NME7","AAAAAAAAAA","AAAAAAAAAA","223391_at","RABGAP1L","AAAAAAAAAA","AAAAAAAAAA"
"1051","AAAAAAAAAA","AAAAAAAAAA","226818_at","AAAAAAAAAA","227995_at","ABCA8","AAAAAAAAAA","AAAAAAAAAA","205267_at","CDK6","AAAAAAAAAA","AAAAAAAAAA"
"1052","AAAAAAAAAA","AAAAAAAAAA","209542_x_at","AAAAAAAAAA","225790_at","TM4SF1","AAAAAAAAAA","AAAAAAAAAA","201278_at","SLC2A5","AAAAAAAAAA","AAAAAAAAAA"
"1053","AAAAAAAAAA","AAAAAAAAAA","239294_at","AAAAAAAAAA","204083_s_at","IL10RA","AAAAAAAAAA","AAAAAAAAAA","220088_at","SAMD9","AAAAAAAAAA","AAAAAAAAAA"
"1054","AAAAAAAAAA","AAAAAAAAAA","212587_s_at","AAAAAAAAAA","219372_at","C1orf114","AAAAAAAAAA","AAAAAAAAAA","211026_s_at","TNFAIP8","AAAAAAAAAA","AAAAAAAAAA"
"1055","AAAAAAAAAA","AAAAAAAAAA","204844_at","AAAAAAAAAA","241262_at","A2M","AAAAAAAAAA","AAAAAAAAAA","230961_at","NIPAL2","AAAAAAAAAA","AAAAAAAAAA"
"1056","AAAAAAAAAA","AAAAAAAAAA","242397_at","AAAAAAAAAA","204908_s_at","ANTXR1","AAAAAAAAAA","AAAAAAAAAA","203932_at","SAMD9L","AAAAAAAAAA","AAAAAAAAAA"
"1057","AAAAAAAAAA","AAAAAAAAAA","216899_s_at","AAAAAAAAAA","204345_at","SLC28A3","AAAAAAAAAA","AAAAAAAAAA","225330_at","LAMP3","AAAAAAAAAA","AAAAAAAAAA"
"1058","AAAAAAAAAA","AAAAAAAAAA","1553171_x_at","AAAAAAAAAA","203323_at","THBS1","AAAAAAAAAA","AAAAAAAAAA","226810_at","MLLT11","AAAAAAAAAA","AAAAAAAAAA"
"1059","AAAAAAAAAA","AAAAAAAAAA","221671_x_at","AAAAAAAAAA","219655_at","LAMA4","AAAAAAAAAA","AAAAAAAAAA","35974_at","APOL3","AAAAAAAAAA","AAAAAAAAAA"
"1060","AAAAAAAAAA","AAAAAAAAAA","228665_at","AAAAAAAAAA","203543_s_at","TRO","AAAAAAAAAA","AAAAAAAAAA","219894_at","MVP","AAAAAAAAAA","AAAAAAAAAA"
"1061","AAAAAAAAAA","AAAAAAAAAA","224795_x_at","AAAAAAAAAA","202687_s_at","KRT7","AAAAAAAAAA","AAAAAAAAAA","225898_at","ELF3","AAAAAAAAAA","AAAAAAAAAA"
"1062","AAAAAAAAAA","AAAAAAAAAA","232024_at","AAAAAAAAAA","36711_at","STOX2","AAAAAAAAAA","AAAAAAAAAA","202869_at","DYNC2H1","AAAAAAAAAA","AAAAAAAAAA"
"1063","AAAAAAAAAA","AAAAAAAAAA","222722_at","AAAAAAAAAA","214470_at","ITGB5","AAAAAAAAAA","AAAAAAAAAA","230508_at","PIK3CG","AAAAAAAAAA","AAAAAAAAAA"
"1064","AAAAAAAAAA","AAAAAAAAAA","222877_at","AAAAAAAAAA","242625_at","CYTIP","AAAAAAAAAA","AAAAAAAAAA","219740_at","DPP10","AAAAAAAAAA","AAAAAAAAAA"
"1065","AAAAAAAAAA","AAAAAAAAAA","1555759_a_at","AAAAAAAAAA","224724_at","C10orf54","AAAAAAAAAA","AAAAAAAAAA","202771_at","RHOBTB1","AAAAAAAAAA","AAAAAAAAAA"
"1066","AAAAAAAAAA","AAAAAAAAAA","242662_at","AAAAAAAAAA","236293_at","HEG1","AAAAAAAAAA","AAAAAAAAAA","201280_s_at","LPAR6","AAAAAAAAAA","AAAAAAAAAA"
"1067","AAAAAAAAAA","AAAAAAAAAA","221651_x_at","AAAAAAAAAA","228167_at","KLRB1","AAAAAAAAAA","AAAAAAAAAA","222934_s_at","KLHL6","AAAAAAAAAA","AAAAAAAAAA"
"1068","AAAAAAAAAA","AAAAAAAAAA","202196_s_at","AAAAAAAAAA","202686_s_at","GLRX","AAAAAAAAAA","AAAAAAAAAA","200911_s_at","ARHGDIB","AAAAAAAAAA","AAAAAAAAAA"
"1069","AAAAAAAAAA","AAAAAAAAAA","213931_at","AAAAAAAAAA","232701_at","SLC12A8","AAAAAAAAAA","AAAAAAAAAA","1553099_at","IFITM2","AAAAAAAAAA","AAAAAAAAAA"
"1070","AAAAAAAAAA","AAAAAAAAAA","209869_at","AAAAAAAAAA","221911_at","FAM198B","AAAAAAAAAA","AAAAAAAAAA","201626_at","IFITM1","AAAAAAAAAA","AAAAAAAAAA"
"1071","AAAAAAAAAA","AAAAAAAAAA","241824_at","AAAAAAAAAA","215077_at","COL1A1","AAAAAAAAAA","AAAAAAAAAA","226258_at","MAN1A1","AAAAAAAAAA","AAAAAAAAAA"
"1072","AAAAAAAAAA","AAAAAAAAAA","241864_x_at","AAAAAAAAAA","1554690_a_at","CD69","AAAAAAAAAA","AAAAAAAAAA","204749_at","TRIM22","AAAAAAAAAA","AAAAAAAAAA"
"1073","AAAAAAAAAA","AAAAAAAAAA","207957_s_at","AAAAAAAAAA","208025_s_at","CLEC2B","AAAAAAAAAA","AAAAAAAAAA","229090_at","FGL2","AAAAAAAAAA","AAAAAAAAAA"
"1074","AAAAAAAAAA","AAAAAAAAAA","1570445_a_at","AAAAAAAAAA","204112_s_at","SELL","AAAAAAAAAA","AAAAAAAAAA","207907_at","ARHGAP9","AAAAAAAAAA","AAAAAAAAAA"
"1075","AAAAAAAAAA","AAAAAAAAAA","208335_s_at","AAAAAAAAAA","212647_at","ISM1","AAAAAAAAAA","AAAAAAAAAA","222803_at","KIAA1671","AAAAAAAAAA","AAAAAAAAAA"
"1076","AAAAAAAAAA","AAAAAAAAAA","1568618_a_at","AAAAAAAAAA","216235_s_at","CXCL16","AAAAAAAAAA","AAAAAAAAAA","1554897_s_at","TNFSF13B","AAAAAAAAAA","AAAAAAAAAA"
"1077","AAAAAAAAAA","AAAAAAAAAA","236571_at","AAAAAAAAAA","215806_x_at","ELL2","AAAAAAAAAA","AAAAAAAAAA","236222_at","ASTN1","AAAAAAAAAA","AAAAAAAAAA"
"1078","AAAAAAAAAA","AAAAAAAAAA","230722_at","AAAAAAAAAA","207265_s_at","MSX1","AAAAAAAAAA","AAAAAAAAAA","209792_s_at","PION","AAAAAAAAAA","AAAAAAAAAA"
"1079","AAAAAAAAAA","AAAAAAAAAA","235570_at","AAAAAAAAAA","233014_at","CYTL1","AAAAAAAAAA","AAAAAAAAAA","203083_at","SPATA17","AAAAAAAAAA","AAAAAAAAAA"
"1080","AAAAAAAAAA","AAAAAAAAAA","1555756_a_at","AAAAAAAAAA","1553321_a_at","SUSD2","AAAAAAAAAA","AAAAAAAAAA","243626_at","SASH3","AAAAAAAAAA","AAAAAAAAAA"
"1081","AAAAAAAAAA","AAAAAAAAAA","44790_s_at","AAAAAAAAAA","214500_at","CAST","AAAAAAAAAA","AAAAAAAAAA","225660_at","CENPV","AAAAAAAAAA","AAAAAAAAAA"
"1082","AAAAAAAAAA","AAAAAAAAAA","212942_s_at","AAAAAAAAAA","235706_at","ANXA4","AAAAAAAAAA","AAAAAAAAAA","230563_at","APOL2","AAAAAAAAAA","AAAAAAAAAA"
"1083","AAAAAAAAAA","AAAAAAAAAA","207175_at","AAAAAAAAAA","219820_at","NALCN","AAAAAAAAAA","AAAAAAAAAA","1552691_at","CD300A","AAAAAAAAAA","AAAAAAAAAA"
"1084","AAAAAAAAAA","AAAAAAAAAA","222838_at","AAAAAAAAAA","218087_s_at","DLK1","AAAAAAAAAA","AAAAAAAAAA","201850_at","CASP4","AAAAAAAAAA","AAAAAAAAAA"
"1085","AAAAAAAAAA","AAAAAAAAAA","213566_at","AAAAAAAAAA","240135_x_at","EHF","AAAAAAAAAA","AAAAAAAAAA","202068_s_at","KDM5B","AAAAAAAAAA","AAAAAAAAAA"
"1086","AAAAAAAAAA","AAAAAAAAAA","205399_at","AAAAAAAAAA","210882_s_at","TMED7-TICAM2","AAAAAAAAAA","AAAAAAAAAA","235343_at","TGFB2","AAAAAAAAAA","AAAAAAAAAA"
"1087","AAAAAAAAAA","AAAAAAAAAA","201325_s_at","AAAAAAAAAA","202627_s_at","CLEC7A","AAAAAAAAAA","AAAAAAAAAA","36920_at","APOL1","AAAAAAAAAA","AAAAAAAAAA"
"1088","AAAAAAAAAA","AAAAAAAAAA","212233_at","AAAAAAAAAA","215176_x_at","CYB5R4","AAAAAAAAAA","AAAAAAAAAA","228648_at","PKIB","AAAAAAAAAA","AAAAAAAAAA"
"1089","AAAAAAAAAA","AAAAAAAAAA","201860_s_at","AAAAAAAAAA","204518_s_at","PROM2","AAAAAAAAAA","AAAAAAAAAA","224856_at","SMPDL3A","AAAAAAAAAA","AAAAAAAAAA"
"1090","AAAAAAAAAA","AAAAAAAAAA","233090_at","AAAAAAAAAA","227727_at","TICAM2","AAAAAAAAAA","AAAAAAAAAA","1556121_at","TDRD7","AAAAAAAAAA","AAAAAAAAAA"
"1091","AAAAAAAAAA","AAAAAAAAAA","219525_at","AAAAAAAAAA","227354_at","GJA5","AAAAAAAAAA","AAAAAAAAAA","235229_at","TMEM140","AAAAAAAAAA","AAAAAAAAAA"
"1092","AAAAAAAAAA","AAAAAAAAAA","201430_s_at","AAAAAAAAAA","222859_s_at","KRT6A","AAAAAAAAAA","AAAAAAAAAA","204084_s_at","S100A8","AAAAAAAAAA","AAAAAAAAAA"
"1093","AAAAAAAAAA","AAAAAAAAAA","232453_at","AAAAAAAAAA","225566_at","PRRX1","AAAAAAAAAA","AAAAAAAAAA","203185_at","S100A6","AAAAAAAAAA","AAAAAAAAAA"
"1094","AAAAAAAAAA","AAAAAAAAAA","241981_at","AAAAAAAAAA","219209_at","RNF213","AAAAAAAAAA","AAAAAAAAAA","218986_s_at","ARHGAP26","AAAAAAAAAA","AAAAAAAAAA"
"1095","AAAAAAAAAA","AAAAAAAAAA","239336_at","AAAAAAAAAA","203799_at","OLR1","AAAAAAAAAA","AAAAAAAAAA","209757_s_at","TMOD1","AAAAAAAAAA","AAAAAAAAAA"
"1096","AAAAAAAAAA","AAAAAAAAAA","226084_at","AAAAAAAAAA","205902_at","HMOX1","AAAAAAAAAA","AAAAAAAAAA","226333_at","VDR","AAAAAAAAAA","AAAAAAAAAA"
"1097","AAAAAAAAAA","AAAAAAAAAA","211645_x_at","AAAAAAAAAA","205547_s_at","ITGBL1","AAAAAAAAAA","AAAAAAAAAA","1554018_at","ZBED2","AAAAAAAAAA","AAAAAAAAAA"
"1098","AAAAAAAAAA","AAAAAAAAAA","216834_at","AAAAAAAAAA","231109_at","COL10A1","AAAAAAAAAA","AAAAAAAAAA","219256_s_at","S100A14","AAAAAAAAAA","AAAAAAAAAA"
"1099","AAAAAAAAAA","AAAAAAAAAA","226771_at","AAAAAAAAAA","205117_at","FMO2","AAAAAAAAAA","AAAAAAAAAA","31845_at","CD300LF","AAAAAAAAAA","AAAAAAAAAA"
"1100","AAAAAAAAAA","AAAAAAAAAA","203915_at","AAAAAAAAAA","203476_at","NT5E","AAAAAAAAAA","AAAAAAAAAA","222877_at","SH3TC1","AAAAAAAAAA","AAAAAAAAAA"
"1101","AAAAAAAAAA","AAAAAAAAAA","238478_at","AAAAAAAAAA","227051_at","KLRK1","AAAAAAAAAA","AAAAAAAAAA","215163_at","CASP1","AAAAAAAAAA","AAAAAAAAAA"
"1102","AAAAAAAAAA","AAAAAAAAAA","205959_at","AAAAAAAAAA","241026_at","FMO1","AAAAAAAAAA","AAAAAAAAAA","205328_at","S100A1","AAAAAAAAAA","AAAAAAAAAA"
"1103","AAAAAAAAAA","AAAAAAAAAA","225353_s_at","AAAAAAAAAA","200766_at","C3","AAAAAAAAAA","AAAAAAAAAA","211744_s_at","COL2A1","AAAAAAAAAA","AAAAAAAAAA"
"1104","AAAAAAAAAA","AAAAAAAAAA","224189_x_at","AAAAAAAAAA","218824_at","BIRC3","AAAAAAAAAA","AAAAAAAAAA","239630_at","COL6A6","AAAAAAAAAA","AAAAAAAAAA"
"1105","AAAAAAAAAA","AAAAAAAAAA","223253_at","AAAAAAAAAA","202628_s_at","KCNMA1","AAAAAAAAAA","AAAAAAAAAA","212364_at","TLR3","AAAAAAAAAA","AAAAAAAAAA"
"1106","AAAAAAAAAA","AAAAAAAAAA","214677_x_at","AAAAAAAAAA","219563_at","LCP1","AAAAAAAAAA","AAAAAAAAAA","219014_at","ELF4","AAAAAAAAAA","AAAAAAAAAA"
"1107","AAAAAAAAAA","AAAAAAAAAA","217022_s_at","AAAAAAAAAA","231001_at","CD3D","AAAAAAAAAA","AAAAAAAAAA","229349_at","CARD16","AAAAAAAAAA","AAAAAAAAAA"
"1108","AAAAAAAAAA","AAAAAAAAAA","206715_at","AAAAAAAAAA","223218_s_at","ACSL1","AAAAAAAAAA","AAAAAAAAAA","205363_at","FBXO6","AAAAAAAAAA","AAAAAAAAAA"
"1109","AAAAAAAAAA","AAAAAAAAAA","214669_x_at","AAAAAAAAAA","212185_x_at","HSD17B6","AAAAAAAAAA","AAAAAAAAAA","235299_at","GNAI1","AAAAAAAAAA","AAAAAAAAAA"
"1110","AAAAAAAAAA","AAAAAAAAAA","207414_s_at","AAAAAAAAAA","231779_at","FCGR1A","AAAAAAAAAA","AAAAAAAAAA","222906_at","CHI3L1","AAAAAAAAAA","AAAAAAAAAA"
"1111","AAAAAAAAAA","AAAAAAAAAA","202988_s_at","AAAAAAAAAA","235227_at","FN1","AAAAAAAAAA","AAAAAAAAAA","238458_at","NR3C1","AAAAAAAAAA","AAAAAAAAAA"
"1112","AAAAAAAAAA","AAAAAAAAAA","218730_s_at","AAAAAAAAAA","227889_at","DSE","AAAAAAAAAA","AAAAAAAAAA","239537_at","XAF1","AAAAAAAAAA","AAAAAAAAAA"
